item_name,month,zone,avg_price
Smoked fish,2025-02-01,SOUTH SOUTH,6026.96
Smoked fish,2025-02-01,SOUTH WEST,5566.08
Sweet potatoes,2025-02-01,NORTH CENTRAL,713.06
Sweet potatoes,2025-02-01,NORTH EAST,788.69
Sweet potatoes,2025-02-01,NORTH WEST,655.29
Sweet potatoes,2025-02-01,SOUTH EAST,797.35
Sweet potatoes,2025-02-01,SOUTH SOUTH,1426.23
Sweet potatoes,2025-02-01,SOUTH WEST,601.21
Tilapia fresh fish (Epiya),2025-02-01,NORTH CENTRAL,5931.81
Tilapia fresh fish (Epiya),2025-02-01,NORTH EAST,4966.53
Tilapia fresh fish (Epiya),2025-02-01,NORTH WEST,4603.01
Tilapia fresh fish (Epiya),2025-02-01,SOUTH EAST,5050.23
Tilapia fresh fish (Epiya),2025-02-01,SOUTH SOUTH,4888.17
Tilapia fresh fish (Epiya),2025-02-01,SOUTH WEST,5120.46
"Tin Milk-Evaporated, Peak Milk, 150g",2025-02-01,NORTH CENTRAL,936.76
"Tin Milk-Evaporated, Peak Milk, 150g",2025-02-01,NORTH EAST,920.83
"Tin Milk-Evaporated, Peak Milk, 150g",2025-02-01,NORTH WEST,872.14
"Tin Milk-Evaporated, Peak Milk, 150g",2025-02-01,SOUTH EAST,1035.0
"Tin Milk-Evaporated, Peak Milk, 150g",2025-02-01,SOUTH SOUTH,963.69
"Tin Milk-Evaporated, Peak Milk, 150g",2025-02-01,SOUTH WEST,883.97
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-02-01,NORTH CENTRAL,753.91
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-02-01,NORTH EAST,846.67
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-02-01,NORTH WEST,807.86
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-02-01,SOUTH EAST,838.55
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-02-01,SOUTH SOUTH,945.19
"Tin Milk-Evaporated, Three Crown Milk, 160g",2025-02-01,SOUTH WEST,789.06
"Titus, frozen",2025-02-01,NORTH CENTRAL,6629.0
"Titus, frozen",2025-02-01,NORTH EAST,4870.0
"Titus, frozen",2025-02-01,NORTH WEST,6123.41
"Titus, frozen",2025-02-01,SOUTH EAST,5312.61
"Titus, frozen",2025-02-01,SOUTH SOUTH,5325.19
"Titus, frozen",2025-02-01,SOUTH WEST,4812.94
"Tomatoes, fresh",2025-02-01,NORTH CENTRAL,1045.91
"Tomatoes, fresh",2025-02-01,NORTH EAST,786.67
"Tomatoes, fresh",2025-02-01,NORTH WEST,844.41
"Tomatoes, fresh",2025-02-01,SOUTH EAST,1602.94
"Tomatoes, fresh",2025-02-01,SOUTH SOUTH,1172.9
"Tomatoes, fresh",2025-02-01,SOUTH WEST,1351.3
"Vegetable Oil, 75cl",2025-02-01,NORTH CENTRAL,2878.95
"Vegetable Oil, 75cl",2025-02-01,NORTH EAST,2823.15
"Vegetable Oil, 75cl",2025-02-01,NORTH WEST,2672.74
"Vegetable Oil, 75cl",2025-02-01,SOUTH EAST,3099.53
"Vegetable Oil, 75cl",2025-02-01,SOUTH SOUTH,3585.77
"Vegetable Oil, 75cl",2025-02-01,SOUTH WEST,3589.31
"Watermelon whole, medium size fresh",2025-02-01,NORTH CENTRAL,1802.58
"Watermelon whole, medium size fresh",2025-02-01,NORTH EAST,1616.67
"Watermelon whole, medium size fresh",2025-02-01,NORTH WEST,1435.31
"Watermelon whole, medium size fresh",2025-02-01,SOUTH EAST,2509.0
"Watermelon whole, medium size fresh",2025-02-01,SOUTH SOUTH,2469.05
"Watermelon whole, medium size fresh",2025-02-01,SOUTH WEST,1924.17
"Wheat Flour, Prepacked (2kg)",2025-02-01,NORTH CENTRAL,3679.8
"Wheat Flour, Prepacked (2kg)",2025-02-01,NORTH EAST,3728.89
"Wheat Flour, Prepacked (2kg)",2025-02-01,NORTH WEST,3814.29
"Wheat Flour, Prepacked (2kg)",2025-02-01,SOUTH EAST,5156.89
"Wheat Flour, Prepacked (2kg)",2025-02-01,SOUTH SOUTH,3780.65
"Wheat Flour, Prepacked (2kg)",2025-02-01,SOUTH WEST,3443.23
Yam Tuber,2025-02-01,NORTH CENTRAL,1934.61
Yam Tuber,2025-02-01,NORTH EAST,1752.27
Yam Tuber,2025-02-01,NORTH WEST,2071.55
Yam Tuber,2025-02-01,SOUTH EAST,2191.22
Yam Tuber,2025-02-01,SOUTH SOUTH,2278.05
Yam Tuber,2025-02-01,SOUTH WEST,1939.03
Agric hen eggs,2025-03-01,NORTH CENTRAL,251.1
Agric hen eggs,2025-03-01,NORTH EAST,254.48
Agric hen eggs,2025-03-01,NORTH WEST,242.85
Agric hen eggs,2025-03-01,SOUTH EAST,292.52
Agric hen eggs,2025-03-01,SOUTH SOUTH,267.44
Agric hen eggs,2025-03-01,SOUTH WEST,268.67
"Agric hen eggs, (a Crate of 30 pieces)",2025-03-01,NORTH CENTRAL,5835.84
"Agric hen eggs, (a Crate of 30 pieces)",2025-03-01,NORTH EAST,6341.67
"Agric hen eggs, (a Crate of 30 pieces)",2025-03-01,NORTH WEST,5808.93
"Agric hen eggs, (a Crate of 30 pieces)",2025-03-01,SOUTH EAST,6985.22
"Agric hen eggs, (a Crate of 30 pieces)",2025-03-01,SOUTH SOUTH,6120.83
"Agric hen eggs, (a Crate of 30 pieces)",2025-03-01,SOUTH WEST,6432.71
Beans Brown,2025-03-01,NORTH CENTRAL,2941.49
Beans Brown,2025-03-01,NORTH EAST,2775.47
Beans Brown,2025-03-01,NORTH WEST,1788.8
Beans Brown,2025-03-01,SOUTH EAST,3307.58
Beans Brown,2025-03-01,SOUTH SOUTH,2616.54
Beans Brown,2025-03-01,SOUTH WEST,2466.64
Beans white,2025-03-01,NORTH CENTRAL,2244.79
Beans white,2025-03-01,NORTH EAST,2180.43
Beans white,2025-03-01,NORTH WEST,1610.93
Beans white,2025-03-01,SOUTH EAST,2900.73
Beans white,2025-03-01,SOUTH SOUTH,2523.11
Beans white,2025-03-01,SOUTH WEST,2040.67
Beef Boneless,2025-03-01,NORTH CENTRAL,6335.08
Beef Boneless,2025-03-01,NORTH EAST,6218.75
Beef Boneless,2025-03-01,NORTH WEST,5781.93
Beef Boneless,2025-03-01,SOUTH EAST,8188.6
Beef Boneless,2025-03-01,SOUTH SOUTH,6634.09
Beef Boneless,2025-03-01,SOUTH WEST,6415.08
"Bread (sliced), 450g",2025-03-01,NORTH CENTRAL,1738.73
"Bread (sliced), 450g",2025-03-01,NORTH EAST,1571.0
"Bread (sliced), 450g",2025-03-01,NORTH WEST,1712.51
"Bread (sliced), 450g",2025-03-01,SOUTH EAST,1630.0
"Bread (sliced), 450g",2025-03-01,SOUTH SOUTH,1743.64
"Bread (sliced), 450g",2025-03-01,SOUTH WEST,1661.65
"Bread (unsliced), 450g",2025-03-01,NORTH CENTRAL,1645.09
"Bread (unsliced), 450g",2025-03-01,NORTH EAST,1298.83
"Bread (unsliced), 450g",2025-03-01,NORTH WEST,1731.93
"Bread (unsliced), 450g",2025-03-01,SOUTH EAST,1497.93
"Bread (unsliced), 450g",2025-03-01,SOUTH SOUTH,1769.17
"Bread (unsliced), 450g",2025-03-01,SOUTH WEST,1371.52
"Carrots, fresh",2025-03-01,NORTH CENTRAL,1577.14
"Carrots, fresh",2025-03-01,NORTH EAST,1691.67
"Carrots, fresh",2025-03-01,NORTH WEST,1580.0
"Carrots, fresh",2025-03-01,SOUTH EAST,2327.12
"Carrots, fresh",2025-03-01,SOUTH SOUTH,2463.07
"Carrots, fresh",2025-03-01,SOUTH WEST,2229.47
Catfish (obokun) fresh,2025-03-01,NORTH CENTRAL,6827.21
Catfish (obokun) fresh,2025-03-01,NORTH EAST,5222.5
Catfish (obokun) fresh,2025-03-01,NORTH WEST,4316.1
Catfish (obokun) fresh,2025-03-01,SOUTH EAST,5785.39
Catfish (obokun) fresh,2025-03-01,SOUTH SOUTH,5608.33
Catfish (obokun) fresh,2025-03-01,SOUTH WEST,5308.0
Chicken Feet,2025-03-01,NORTH CENTRAL,3975.65
Chicken Feet,2025-03-01,NORTH EAST,2931.83
Chicken Feet,2025-03-01,NORTH WEST,2428.7
Chicken Feet,2025-03-01,SOUTH EAST,3424.58
Chicken Feet,2025-03-01,SOUTH SOUTH,3869.79
Chicken Feet,2025-03-01,SOUTH WEST,4376.34
Frozen chicken,2025-03-01,NORTH CENTRAL,6228.57
Frozen chicken,2025-03-01,NORTH EAST,4810.0
Frozen chicken,2025-03-01,NORTH WEST,4707.14
Frozen chicken,2025-03-01,SOUTH EAST,7610.0
Frozen chicken,2025-03-01,SOUTH SOUTH,5523.33
Frozen chicken,2025-03-01,SOUTH WEST,5566.67
Chicken Wings,2025-03-01,NORTH CENTRAL,5055.4
Chicken Wings,2025-03-01,NORTH EAST,3629.5
Chicken Wings,2025-03-01,NORTH WEST,4137.12
Chicken Wings,2025-03-01,SOUTH EAST,4917.48
Chicken Wings,2025-03-01,SOUTH SOUTH,5050.41
Chicken Wings,2025-03-01,SOUTH WEST,5304.02
Cray fish small white,2025-03-01,NORTH CENTRAL,7265.71
Cray fish small white,2025-03-01,NORTH EAST,7153.78
Cray fish small white,2025-03-01,NORTH WEST,7224.53
Cray fish small white,2025-03-01,SOUTH EAST,6675.83
Cray fish small white,2025-03-01,SOUTH SOUTH,4925.0
Cray fish small white,2025-03-01,SOUTH WEST,6504.25
"Dried fish, Bonga",2025-03-01,NORTH CENTRAL,7726.42
"Dried fish, Bonga",2025-03-01,NORTH EAST,5884.63
"Dried fish, Bonga",2025-03-01,NORTH WEST,5611.83
"Dried fish, Bonga",2025-03-01,SOUTH EAST,8924.13
"Dried fish, Bonga",2025-03-01,SOUTH SOUTH,5666.26
"Dried fish, Bonga",2025-03-01,SOUTH WEST,5496.05
Garri white,2025-03-01,NORTH CENTRAL,1387.53
Garri white,2025-03-01,NORTH EAST,1369.4
Garri white,2025-03-01,NORTH WEST,1602.31
Garri white,2025-03-01,SOUTH EAST,1391.34
Garri white,2025-03-01,SOUTH SOUTH,1256.21
Garri white,2025-03-01,SOUTH WEST,1131.72
Garri Yellow,2025-03-01,NORTH CENTRAL,1411.67
Garri Yellow,2025-03-01,NORTH EAST,1529.08
Garri Yellow,2025-03-01,NORTH WEST,1648.35
Garri Yellow,2025-03-01,SOUTH EAST,1526.77
Garri Yellow,2025-03-01,SOUTH SOUTH,1314.79
Garri Yellow,2025-03-01,SOUTH WEST,1296.48
"Ginger, fresh",2025-03-01,NORTH CENTRAL,4586.34
"Ginger, fresh",2025-03-01,NORTH EAST,4273.38
"Ginger, fresh",2025-03-01,NORTH WEST,3758.53
"Ginger, fresh",2025-03-01,SOUTH EAST,5360.85
"Ginger, fresh",2025-03-01,SOUTH SOUTH,4965.0
"Ginger, fresh",2025-03-01,SOUTH WEST,4926.67
Goat Meat Bone in,2025-03-01,NORTH CENTRAL,5730.19
Goat Meat Bone in,2025-03-01,NORTH EAST,6290.83
Goat Meat Bone in,2025-03-01,NORTH WEST,6449.26
Goat Meat Bone in,2025-03-01,SOUTH EAST,8361.52
Goat Meat Bone in,2025-03-01,SOUTH SOUTH,7980.32
Goat Meat Bone in,2025-03-01,SOUTH WEST,7055.07
"Groundnut oil, 75cl",2025-03-01,NORTH CENTRAL,2940.06
"Groundnut oil, 75cl",2025-03-01,NORTH EAST,3208.11
"Groundnut oil, 75cl",2025-03-01,NORTH WEST,2875.62
"Groundnut oil, 75cl",2025-03-01,SOUTH EAST,3050.1
"Groundnut oil, 75cl",2025-03-01,SOUTH SOUTH,3595.49
"Groundnut oil, 75cl",2025-03-01,SOUTH WEST,3719.07
